id	agent	engine	score_verdict	core_recommendation	db_position	key_risk_named
A	codex-schema-v2	codex-5.6sol-xhigh	no	SQLite only as operational join layer; load the 3 JSON docs as-is, add typed projections + admission_policy + deployment context + measurement tables; never remodel heterogeneous claims into universal ranges	sqlite_join_layer_evidence_immutable	remodelling claims into ranges destroys claim_role semantics
B	codex-score-semantics	codex-5.6sol-xhigh	no	No composite and no per-domain numeric scores; four claim-typed panels (growth_evidence, disease_conditions, human_air_quality, site_noise_standard) with unknown/blocked as first-class outcomes	evaluation_result table keyed by claim contract	compositing growth+health+law is category error
C	codex-curve-builder	codex-5.6sol-xhigh	no	No continuous curve from any best_tested_point; x* in argmax over tested grid only; wasabi 140 = highest tested, above it is unknown not worse	curve_policy + trial_level tables, interpolation_policy='none' CHECK	a fitted curve invents a response surface never measured
D	codex-common-axis	codex-5.6sol-xhigh	no	No PM/noise score; parallel non-composite status cards keeping WHO 24h, KR daily band, KR 2h-sustained trigger, and official feed distinct; noise stays visibly blocked	sensor_observation -> derived_aggregate(policy_id) -> evaluation_result	conflating three PM time bases into one number
E	codex-critic	codex-5.6sol-xhigh	no	Default-deny all 13 records from scoring; permit role-specific output only after objective+cultivar/stage/env+measurement basis+temporal window all match; basil 500 is an energy optimum in a biology costume	role_output_allowlist deliberately omits numeric_score	implementer promotes author target to biological optimum in 6 weeks
F	agy-explorer	agy-opus4.6-thinking	no	Do not score; render the trial grid itself as the UI — tested levels as discrete points, best highlighted, live reading placed on the same strip (trial-position indicator)	trial_position_indicator with grid_points_json + grid_bounded_above	users may still read spatial proximity as a grade
G	agy-skeptic	agy-opus4.6-thinking	no	Ship the 3 JSON files AS the data layer; no SQLite, no scoring function, no curves; reference cards + honest empty states; collection_contract drives procurement checklist	no_sqlite_json_is_the_data_layer	SQLite is premature; every added table is unbuilt product
H	agy-domain-skeptic	agy-opus4.6-thinking	no	No record suffices to tell a grower the plant is doing well; strongest records give distance-to-anchor for one cultivar under fixed companion conditions; all 5 crop-growth records carry unresolved interaction terms	per-record CAN/CANNOT ledger	single-axis evaluation is biologically unsound given interactions
I	agy-procurement	agy-opus4.6-thinking	yes_with_severe_limits	Buy in strict order: quantum PPFD sensor, paired RH+temp at canopy, KR-certified PM, integrating SLM; a lux-only plant_light sensor is an unrecoverable error; noise meter deferrable	tiered procurement gates which axes are storable at all	a $3 lux sensor kills the largest evidence cluster
J	agy-product-advocate	agy-opus4.6-thinking	yes_with_severe_limits	Three-panel screen: live telemetry strip with anchors drawn where evidence exists, crop-independent health/site bar, per-crop guidance card with honest coverage table; empty crops keep the sparkline, lose the marker	crop_axis_evidence driving per-cell UI status	operator wants the energy target they pay the power bill for
