# SYNTHETIC — generated by tools/make_bench_capture.py, NOT measured. Do not report as collected data.
# terrabyte dataset logger, NOT production firmware; node=pot-02 logger=dataset-logger-0.1.0-BENCH-ONLY interval_ms=60000
# validity bits: 1=air_t 2=rh 4=ppfd 8=soil_t 16=soil_moist 32=lux
# generator_seed=20268733 days=45 drying_scale=0.996 absorption_per_ml=0.420 thirst_threshold=19.0
captured_at_utc,sequence,uptime_ms,air_temperature_c,relative_humidity_pct,ppfd_umol_m2_s,illuminance_lux,soil_temperature_c,soil_moisture_pct,soil_moisture_raw_adc,validity,event,event_ml
2026-06-30T10:00:00Z,0,64197,25.07,48.81,,10770.85,20.14,48.00,457,59,,
2026-06-30T10:01:00Z,1,124198,24.96,51.12,,11070.41,20.32,47.99,457,59,,
2026-06-30T10:02:00Z,2,184196,25.04,48.05,,10613.42,20.48,47.98,457,59,,
2026-06-30T10:03:00Z,3,244193,25.05,52.71,,11595.72,20.66,47.98,457,59,,
2026-06-30T10:04:00Z,4,304191,25.97,50.98,,10746.77,20.88,47.99,457,59,,
2026-06-30T10:05:00Z,5,364189,25.21,49.07,,11555.95,21.05,48.01,457,59,,
2026-06-30T10:06:00Z,6,424191,25.16,51.73,,11392.53,21.22,48.02,457,59,,
2026-06-30T10:07:00Z,7,484192,24.72,53.19,,11822.09,21.29,48.00,457,59,,
2026-06-30T10:08:00Z,8,544189,25.21,53.51,,11120.93,21.40,48.02,457,59,,
2026-06-30T10:09:00Z,9,604191,24.26,47.54,,10645.28,21.47,48.03,457,59,,
2026-06-30T10:10:00Z,10,664189,25.20,51.67,,10919.56,21.61,48.03,457,59,,
2026-06-30T10:11:00Z,11,724187,24.80,49.04,,12335.83,21.66,48.01,457,59,,
2026-06-30T10:12:00Z,12,784187,25.10,51.68,,10182.65,21.74,47.99,457,59,,
2026-06-30T10:13:00Z,13,844189,24.90,50.78,,10232.17,21.88,47.98,457,59,,
2026-06-30T10:14:00Z,14,904189,24.96,52.91,,10414.92,21.98,47.99,457,59,,
2026-06-30T10:15:00Z,15,964192,25.38,52.12,,10215.47,22.09,47.98,457,59,,
2026-06-30T10:16:00Z,16,1024193,25.45,50.35,,10883.81,22.21,47.96,457,59,,
2026-06-30T10:17:00Z,17,1084195,24.93,52.36,,9371.46,22.29,47.96,457,59,,
2026-06-30T10:18:00Z,18,1144198,25.36,48.73,,8472.05,22.30,47.93,457,59,,
2026-06-30T10:19:00Z,19,1204200,24.46,52.48,,10646.55,,47.90,457,51,,
2026-06-30T10:20:00Z,20,1264200,25.18,50.13,,9572.12,22.36,47.89,457,59,,
2026-06-30T10:21:00Z,21,1324203,25.23,52.09,,11313.38,22.39,47.83,457,59,,
2026-06-30T10:22:00Z,22,1384205,24.75,47.92,,11073.01,22.49,47.84,457,59,,
2026-06-30T10:23:00Z,23,1444203,24.80,51.72,,11016.49,22.59,47.84,457,59,,
2026-06-30T10:24:00Z,24,1504200,25.29,56.14,,12086.96,22.72,47.83,457,59,,
2026-06-30T10:25:00Z,25,1564198,25.38,49.47,,9952.09,22.85,47.81,457,59,,
2026-06-30T10:26:00Z,26,1624200,25.13,51.49,,10712.72,22.88,47.79,458,59,,
2026-06-30T10:27:00Z,27,1684200,25.35,48.96,,12331.43,22.96,47.78,458,59,,
2026-06-30T10:28:00Z,28,1744197,24.55,49.38,,11124.42,,47.77,458,51,,
2026-06-30T10:29:00Z,29,1804198,24.94,52.12,,11819.98,23.05,47.76,458,59,,
2026-06-30T10:30:00Z,30,1864198,25.23,49.04,,11095.83,23.12,47.77,458,59,,
2026-06-30T10:31:00Z,31,1924195,24.90,49.00,,10500.10,23.13,47.77,458,59,,
2026-06-30T10:32:00Z,32,1984192,24.81,49.79,,11758.40,23.11,47.76,458,59,,
2026-06-30T10:33:00Z,33,2044190,25.36,54.29,,11911.27,23.11,47.74,458,59,,
2026-06-30T10:34:00Z,34,2104190,24.96,48.87,,11661.68,23.16,47.75,458,59,,
2026-06-30T10:35:00Z,35,2164188,25.33,51.70,,12073.70,23.18,47.73,458,59,,
2026-06-30T10:36:00Z,36,2224190,24.74,49.66,,12826.78,23.23,47.70,458,59,,
2026-06-30T10:37:00Z,37,2284193,25.06,48.59,,9802.21,23.33,,458,43,,
2026-06-30T10:38:00Z,38,2344190,25.07,51.23,,11741.19,23.36,47.66,458,59,,
2026-06-30T10:39:00Z,39,2404187,24.97,51.37,,11314.63,23.42,47.61,458,59,,
2026-06-30T10:40:00Z,40,2464190,25.18,49.03,,11057.29,23.51,47.58,458,59,,
2026-06-30T10:41:00Z,41,2524192,24.66,52.69,,10043.36,23.52,47.55,458,59,,
2026-06-30T10:42:00Z,42,2584189,25.39,51.40,,11299.62,23.58,47.54,458,59,,
2026-06-30T10:43:00Z,43,2644187,24.94,50.99,,11133.79,23.61,47.51,458,59,,
2026-06-30T10:44:00Z,44,2704185,25.17,46.22,,12164.55,23.69,47.46,459,59,,
2026-06-30T10:45:00Z,45,2764184,24.50,47.36,,10887.72,23.60,47.44,459,59,,
2026-06-30T10:46:00Z,46,2824185,25.49,49.58,,10959.19,23.58,47.42,459,59,,
2026-06-30T10:47:00Z,47,2884186,25.33,47.72,,13520.49,23.61,47.40,459,59,,
2026-06-30T10:48:00Z,48,2944187,25.47,46.03,,13094.82,23.69,47.35,459,59,,
2026-06-30T10:49:00Z,49,3004190,25.32,52.74,,11417.16,23.68,47.37,459,59,,
2026-06-30T10:50:00Z,50,3064189,25.04,49.05,,10657.51,23.67,47.33,459,59,,
2026-06-30T10:51:00Z,51,3124192,24.93,51.99,,11831.34,23.65,47.32,459,59,,
2026-06-30T10:52:00Z,52,3184193,24.90,48.29,,11057.57,23.67,47.34,459,59,,
2026-06-30T10:53:00Z,53,3244190,25.10,50.87,,11880.34,23.69,47.30,459,59,,
2026-06-30T10:54:00Z,54,3304193,25.13,52.00,,13485.43,23.75,47.28,459,59,,
2026-06-30T10:55:00Z,55,3364196,25.54,46.80,,12913.36,23.76,47.25,459,59,,
2026-06-30T10:56:00Z,56,3424198,25.53,50.56,,13572.36,23.80,47.24,459,59,,
2026-06-30T10:57:00Z,57,3484199,24.82,53.09,,13227.98,23.89,47.25,459,59,,
2026-06-30T10:58:00Z,58,3544197,25.12,53.05,,11278.34,23.96,47.27,459,59,,
2026-06-30T10:59:00Z,59,3604199,25.10,50.06,,11962.71,23.87,47.27,459,59,,
2026-06-30T11:00:00Z,60,3664198,24.99,50.50,,12417.76,23.93,47.22,459,59,,
2026-06-30T11:01:00Z,61,3724200,25.04,49.61,,12703.92,23.94,47.17,460,59,,
2026-06-30T11:02:00Z,62,3784202,25.30,50.94,,11379.13,23.91,47.19,460,59,,
2026-06-30T11:03:00Z,63,3844202,25.02,49.34,,11448.32,23.82,47.17,460,59,,
2026-06-30T11:04:00Z,64,3904204,25.49,48.82,,11953.40,23.90,47.13,460,59,,
2026-06-30T11:05:00Z,65,3964203,25.35,47.03,,12971.41,23.93,47.08,460,59,,
2026-06-30T11:06:00Z,66,4024202,25.10,48.30,,13680.52,23.96,47.02,460,59,,
2026-06-30T11:07:00Z,67,4084201,25.52,50.40,,10566.04,23.98,46.99,460,59,,
2026-06-30T11:08:00Z,68,4144200,25.11,45.05,,11530.24,23.93,46.98,460,59,,
2026-06-30T11:09:00Z,69,4204200,25.52,45.86,,12123.65,23.91,46.96,460,59,,
2026-06-30T11:10:00Z,70,4264199,25.76,44.49,,11827.36,23.90,46.95,460,59,,
2026-06-30T11:11:00Z,71,4324202,25.15,47.77,,12314.42,23.85,46.95,460,59,,
2026-06-30T11:12:00Z,72,4384199,24.84,47.59,,11275.24,23.86,46.94,460,59,,
2026-06-30T11:13:00Z,73,4444201,25.30,50.27,,13196.63,23.86,46.90,461,59,,
2026-06-30T11:14:00Z,74,4504204,25.75,49.52,,13009.20,23.92,46.83,461,59,,
2026-06-30T11:15:00Z,75,4564204,25.70,51.46,,12525.81,23.92,46.84,461,59,,
2026-06-30T11:16:00Z,76,4624206,25.36,44.34,,11532.57,23.89,46.79,461,59,,
2026-06-30T11:17:00Z,77,4684205,25.25,48.03,,13473.96,23.95,46.80,461,59,,
2026-06-30T11:18:00Z,78,4744206,25.19,45.23,,12180.47,23.94,46.76,461,59,,
2026-06-30T11:19:00Z,79,4804203,25.44,49.79,,12973.97,23.96,46.73,461,59,,
2026-06-30T11:20:00Z,80,4864202,25.59,51.28,,12057.81,23.97,46.66,461,59,,
2026-06-30T11:21:00Z,81,4924201,25.53,46.18,,14313.34,24.00,46.65,461,59,,
2026-06-30T11:22:00Z,82,4984203,25.47,46.57,,14135.44,23.99,46.63,461,59,,
2026-06-30T11:23:00Z,83,5044202,25.74,46.68,,12536.66,23.96,46.62,461,59,,
2026-06-30T11:24:00Z,84,5104203,25.62,48.95,,11546.88,24.04,46.61,462,59,,
2026-06-30T11:25:00Z,85,5164204,25.51,47.47,,10949.55,24.09,46.62,461,59,,
2026-06-30T11:26:00Z,86,5224205,26.07,48.80,,13547.14,24.15,46.62,462,59,,
2026-06-30T11:27:00Z,87,5284207,25.75,50.77,,11478.98,24.22,46.60,462,59,,
2026-06-30T11:28:00Z,88,5344204,26.00,54.34,,12223.47,24.28,46.59,462,59,,
2026-06-30T11:29:00Z,89,5404204,25.21,49.81,,12482.53,24.32,46.60,462,59,,
2026-06-30T11:30:00Z,90,5464205,25.49,46.51,,13434.85,24.33,46.60,462,59,,
2026-06-30T11:31:00Z,91,5524208,25.54,49.97,,11605.76,24.33,46.59,462,59,,
2026-06-30T11:32:00Z,92,5584211,25.46,47.63,,12431.64,24.35,46.56,462,59,,
2026-06-30T11:33:00Z,93,5644209,25.81,46.18,,12951.76,24.44,46.54,462,59,,
2026-06-30T11:34:00Z,94,5704211,25.13,48.83,,13228.27,24.43,46.51,462,59,,
2026-06-30T11:35:00Z,95,5764209,25.65,50.81,,11749.02,24.37,46.49,462,59,,
2026-06-30T11:36:00Z,96,5824207,25.68,49.01,,13079.45,24.29,46.44,462,59,,
2026-06-30T11:37:00Z,97,5884208,25.79,46.32,,12260.81,24.33,46.43,462,59,,
2026-06-30T11:38:00Z,98,5944205,25.63,46.23,,14121.28,24.34,46.41,462,59,,
2026-06-30T11:39:00Z,99,6004203,25.65,49.87,,13054.62,24.33,46.40,462,59,,
2026-06-30T11:40:00Z,100,6064205,25.28,49.48,,12969.15,24.31,46.42,462,59,,
2026-06-30T11:41:00Z,101,6124203,25.71,49.79,,12910.94,24.33,46.40,462,59,,
2026-06-30T11:42:00Z,102,6184204,26.05,48.64,,12746.36,24.36,46.35,462,59,,
2026-06-30T11:43:00Z,103,6244201,25.80,47.45,,13408.22,24.34,46.33,462,59,,
2026-06-30T11:44:00Z,104,6304204,25.47,49.75,,11854.67,24.36,46.32,463,59,,
2026-06-30T11:45:00Z,105,6364201,25.45,47.11,,12201.08,24.35,46.32,462,59,,
2026-06-30T11:46:00Z,106,6424200,25.65,46.69,,11755.50,24.38,46.34,462,59,,
2026-06-30T11:47:00Z,107,6484199,26.01,48.11,,12513.42,24.51,46.31,463,59,,
2026-06-30T11:48:00Z,108,6544199,25.52,49.91,,11240.77,24.53,46.29,463,59,,
2026-06-30T11:49:00Z,109,6604198,25.53,47.99,,12086.65,24.54,46.26,463,59,,
2026-06-30T11:50:00Z,110,6664201,25.66,47.11,,13049.86,24.53,46.24,463,59,,
2026-06-30T11:51:00Z,111,6724204,25.28,46.11,,13389.40,24.57,46.22,463,59,,
2026-06-30T11:52:00Z,112,6784202,25.87,46.95,,13236.62,24.52,46.20,463,59,,
2026-06-30T11:53:00Z,113,6844199,25.65,46.94,,12323.02,24.49,46.17,463,59,,
2026-06-30T11:54:00Z,114,6904202,25.82,50.08,,12424.32,24.52,46.16,463,59,,
2026-06-30T11:55:00Z,115,6964204,25.45,44.11,,12835.26,24.48,46.15,463,59,,
2026-06-30T11:56:00Z,116,7024206,25.59,47.35,,12756.34,24.46,46.12,463,59,,
2026-06-30T11:57:00Z,117,7084208,25.75,49.21,,12475.19,24.54,46.09,463,59,,
2026-06-30T11:58:00Z,118,7144209,26.02,51.87,,13950.11,24.53,46.08,463,59,,
2026-06-30T11:59:00Z,119,7204207,25.74,45.14,,12969.24,24.51,46.05,463,59,,
2026-06-30T12:00:00Z,120,7264210,25.67,44.88,,11763.47,24.49,46.05,463,59,,
2026-06-30T12:01:00Z,121,7324208,25.31,44.86,,13903.16,24.52,46.02,464,59,,
2026-06-30T12:02:00Z,122,7384205,26.51,47.80,,13492.87,24.55,45.99,464,59,,
2026-06-30T12:03:00Z,123,7444205,24.87,46.91,,12743.43,24.47,45.96,464,59,,
2026-06-30T12:04:00Z,124,7504204,25.39,45.36,,11375.41,24.43,45.95,464,59,,
2026-06-30T12:05:00Z,125,7564204,25.43,47.32,,12414.66,24.41,45.95,464,59,,
2026-06-30T12:06:00Z,126,7624207,25.43,42.62,,11897.62,24.41,45.97,464,59,,
2026-06-30T12:07:00Z,127,7684205,26.32,45.70,,13704.02,24.42,45.97,464,59,,
2026-06-30T12:08:00Z,128,7744202,25.76,46.61,,12861.38,24.41,45.91,464,59,,
2026-06-30T12:09:00Z,129,7804199,25.30,44.26,,13393.22,24.37,45.93,464,59,,
2026-06-30T12:10:00Z,130,7864196,25.17,51.25,,13788.80,24.38,45.90,464,59,,
2026-06-30T12:11:00Z,131,7924199,25.17,50.96,,14059.18,24.40,45.89,464,59,,
2026-06-30T12:12:00Z,132,7984202,25.39,54.02,,12948.49,24.40,45.90,464,59,,
